ID,Game Title,Source,Researcher,Included,Exclusion Notes,URL,Publication Year,Developers,Publisher,Still being used in classrooms?,Still accessible/downloadable?,Discontinued support?,Generalized Subject,Subject1,Subject2,Subject remainder (a++ b++ c),Teaching (College++ Training++ Work),Colleges that use the game,Cost,Game Type (Story++ Simulation...),Genre: single player++ multiplayer++ other (specify),Tags,Game Time,2D/3D,Sound,Platform,Available in Spanish,Available in other languages,Notes,Image
802,Write Simple Expressions Math Games,Legends of Learning,Ethan,FALSE,Grade 5,https://www.legendsoflearning.com/learning-objectives/write-simple-expressions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
803,Symbols Grouping Expressions Math Games,Legends of Learning,Ethan,FALSE,Grade 5,https://www.legendsoflearning.com/learning-objectives/symbols-grouping-expressions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
804,Prime++ Composite++ and Factor Pairs Math Games,Legends of Learning,Ethan,FALSE,Grade 4,https://www.legendsoflearning.com/learning-objectives/prime-composite-and-factor-pairs-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
805,Whole Number Multistep Word Problems Math Games,Legends of Learning,Ethan,FALSE,Grade 4,https://www.legendsoflearning.com/learning-objectives/whole-number-multistep-word-problems-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
806,Positive And Negative To Describe Opposites Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/positive-and-negative-to-describe-opposites-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
807,Greatest Common Factor Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/greatest-common-factor-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
808,Arithmetic with Decimals Fluency Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/arithmetic-with-decimals-fluency-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
809,Divide Multi-Digit Numbers Fluency Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/divide-multi-digit-numbers-fluency-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
810,Division Of Fractions Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/division-of-fractions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
811,Ratios To Convert Measurement Units Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/ratios-to-convert-measurement-units-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
812,Understand Place Value Math Games,Legends of Learning,Ethan,FALSE,Grade 5,https://www.legendsoflearning.com/learning-objectives/understand-place-value-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
813,Terms and Rules in Numerical Patterns Math Games,Legends of Learning,Ethan,FALSE,Grade 5,https://www.legendsoflearning.com/learning-objectives/terms-and-rules-in-numerical-patterns-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
814,Write Simple Expressions Math Games,Legends of Learning,Ethan,FALSE,Grade 5,https://www.legendsoflearning.com/learning-objectives/write-simple-expressions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
815,Symbols Grouping Expressions Math Games,Legends of Learning,Ethan,FALSE,Grade 5,https://www.legendsoflearning.com/learning-objectives/symbols-grouping-expressions-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
816,Prime++ Composite++ and Factor Pairs Math Games,Legends of Learning,Ethan,FALSE,Grade 4,https://www.legendsoflearning.com/learning-objectives/prime-composite-and-factor-pairs-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
817,Whole Number Multistep Word Problems Math Games,Legends of Learning,Ethan,FALSE,Grade 4,https://www.legendsoflearning.com/learning-objectives/whole-number-multistep-word-problems-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
818,Multiplicative Comparison Word Problems Math Games,Legends of Learning,Ethan,FALSE,Grade 4,https://www.legendsoflearning.com/learning-objectives/multiplicative-comparison-word-problems-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
819,Multiplicative Comparisons and Equations Math Games,Legends of Learning,Ethan,FALSE,Grade 4,https://www.legendsoflearning.com/learning-objectives/multiplicative-comparisons-and-equations-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
820,Multiplication and Division Equations Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/multiplication-and-division-equations-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
821,Multiplication And Division Word Problems Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/multiplication-and-division-word-problems-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
822,Whole Number Division Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/whole-number-division-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
823,Basic Multiplication Math Games,Legends of Learning,Ethan,FALSE,Grade 3,https://www.legendsoflearning.com/learning-objectives/basic-multiplication-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
824,Square And Cube Roots Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/square-and-cube-roots-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
825,Integer Exponents Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/integer-exponents-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
826,Compare Irrational Numbers Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/compare-irrational-numbers-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
827,Understand Irrational Numbers Math Games,Legends of Learning,Ethan,FALSE,Grade 8,https://www.legendsoflearning.com/learning-objectives/irrational-numbers-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
828,Represent Proportions As Equations Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/represent-proportions-as-equations-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
829,Unit Rate in Proportional Relationships Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/unit-rate-in-proportional-relationships-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
830,Determine If 2 Ratios Are Equivalent Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/determine-if-2-ratios-are-equivalent-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
831,Compute Unit Rates Math Games,Legends of Learning,Ethan,FALSE,Grade 7,https://www.legendsoflearning.com/learning-objectives/compute-unit-rates-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
832,Use Rate Of 100 To Find Percent Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/rate-of-100-to-find-percent-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
833,Unit Rate Problems Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/unit-rate-problems-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
834,Tables Of Equivalent Ratios Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/tables-equivalent-ratios-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
835,Unit Rate As A Comparison To 1 Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/unit-rate-as-a-comparison-to-1-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
836,Ratio Concept And Language Math Games,Legends of Learning,Ethan,FALSE,Grade 6,https://www.legendsoflearning.com/learning-objectives/ratio-concept-and-language-math-games/,UC,Legends of Learning,N/A,Y,Y,N,,Mathematics ,,,,,Free,,,,,,,Web-based mobil,,,,
837,Weather Patterns Science Games,Legends of Learning,Ethan,FALSE,Elementary School,https://www.legendsoflearning.com/learning-objectives/weather-patterns-science-games/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
838,Digital Signals Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/digital-signals/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
839,Electromagnetic Waves vs. Mechanical Waves Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/electromagnetic-waves-vs-mechanical-waves/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
840,Wave Model of Light Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/wave-model-of-light/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
841,Transmission and Refraction of Light Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/transmission-and-refraction-of-light/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
842,Reflection++ Absorption++ and Transmission of Light Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/reflection-absorption-and-transmission-of-light/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
843,Sound Waves Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/sound-waves/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
844,Waves and Their Properties Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/waves-and-their-properties/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
845,Chemical Reactions in Cellular Respiration Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/chemical-reactions-in-cellular-respiration/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
846,Chemical Reactions in Photosynthesis Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/chemical-reactions-in-photosynthesis/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
847,Relationship Between Energy And Forces Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/relationship-between-energy-and-forces/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
848,Flow of Thermal Energy Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/flow-of-thermal-energy/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
849,Changing Temperature Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/changing-temperature/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
850,Conservation of Energy Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/conservation-of-energy/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
851,Temperature and Total Energy Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/temperature-and-total-energy/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
852,Potential Energy Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/potential-energy/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
853,Kinetic Energy Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/kinetic-energy/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
854,Temperature++ Thermal Energy++ and Particle Motion Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/temperature-thermal-energy-and-particle-motion/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
855,Heat as Energy Transfer Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/heat-as-energy-transfer/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
856,Force Fields Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/force-fields/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
857,Gravitational Force Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/gravitational-force/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
858,Electric and Magnetic Forces Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/electric-and-magnetic-forces/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
859,Reference Frames and Scale Units Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/reference-frames-and-scale-units/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
860,Factors Influencing Motion: Newton’s First and Second Laws Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/factors-influencing-motion-newtons-first-and-second-laws/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
861,Equal and Opposite Reactions: Newton’s Third Law Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/equal-and-opposite-reactions-newtons-third-law/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
862,Energy Transfer in Chemical Reactions Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/energy-transfer-in-chemical-reactions/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
863,Conservation of Matter in Chemical Reactions Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/conservation-of-matter-in-chemical-reactions/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
864,Chemical Reactions: Evidence of a Reaction Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/chemical-reactions-evidence-of-a-reaction/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
865,Chemical Reactions: Arrangements of Atoms Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/chemical-reactions-arrangements-of-atoms/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
866,Effects of Temperature and Pressure on State Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/effects-of-temperature-and-pressure-on-state/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
867,Solids Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/solids/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
868,States of Matter and their Structure Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/states-of-matter-and-their-structure/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
869,Gases and Liquids Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/gases-and-liquids/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
870,Pure Substances Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/pure-substances/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
871,Molecules and Compounds Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/molecules-and-compounds/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
872,Atoms and Elements Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/atoms-and-elements/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
873,Biodiversity and Humans Science Games,Legends of Learning,Ethan,FALSE,Middle School,https://www.legendsoflearning.com/learning-objectives/biodiversity-and-humans/,UC,Legends of Learning,N/A,Y,Y,N,,Science,,,,,Free,,,,,,,Web-based mobil,,,,
